condition,anchor,layer,n_items,n_rows,n_positions,patched_accuracy,mean_margin_improvement,mean_recovery,donor_item_equals_target_rate,same_label_rate
different_label_cross_item_clean_to_corrupt,options_end,6,285,285,1.0,0.10175438596491228,0.27828947368421053,0.042185318141534985,0.0,0.0
same_item_clean_to_corrupt,options_end,6,285,285,1.0,0.017543859649122806,0.05526315789473684,0.009824092159459999,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,6,285,285,1.0,0.10175438596491228,0.28903508771929826,0.04147088307757082,0.0,1.0
vanilla_to_corrupt,options_end,6,285,285,1.0,0.031578947368421054,0.05307017543859649,0.00993814991293001,1.0,1.0
cross_item_clean_to_corrupt,options_end,8,285,285,1.0,0.11929824561403508,0.3714912280701754,0.07118757256078632,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,8,285,285,1.0,0.10877192982456141,0.23574561403508773,0.035500882213493665,0.0,0.0
same_item_clean_to_corrupt,options_end,8,285,285,1.0,0.017543859649122806,0.03837719298245614,0.009014434749526649,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,8,285,285,1.0,0.10175438596491228,0.29583333333333334,0.046296614948399054,0.0,1.0
vanilla_to_corrupt,options_end,8,285,285,1.0,0.03508771929824561,0.030921052631578946,0.006984942729724635,1.0,1.0
cross_item_clean_to_corrupt,options_end,10,285,285,1.0,0.14736842105263157,0.4390350877192982,0.08319864118693304,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,10,285,285,1.0,0.10526315789473684,0.24451754385964913,0.03556118450916087,0.0,0.0
same_item_clean_to_corrupt,options_end,10,285,285,1.0,0.031578947368421054,0.07587719298245614,0.014541238783397453,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,10,285,285,1.0,0.11228070175438597,0.30043859649122806,0.04471878937084809,0.0,1.0
vanilla_to_corrupt,options_end,10,285,285,1.0,0.03508771929824561,0.07785087719298246,0.014739567178834892,1.0,1.0
cross_item_clean_to_corrupt,options_end,12,285,285,1.0,0.13333333333333333,0.3675438596491228,0.06835052462239236,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,options_end,12,285,285,1.0,0.09473684210526316,0.1699561403508772,0.02089332488550225,0.0,0.0
same_item_clean_to_corrupt,options_end,12,285,285,1.0,0.031578947368421054,0.19473684210526315,0.030530114415877482,1.0,1.0
same_label_cross_item_clean_to_corrupt,options_end,12,285,285,1.0,0.11929824561403508,0.4,0.06173925695950879,0.0,1.0
